period,hour,demand(MWh),air_temp,precipitable_water,humidity
2023-01-09,20,904.97,8.2,0,63
2023-01-09,21,893.312,7.9,0,65
2023-01-09,22,871.592,7.8,0,52
2023-01-09,23,856.956,7.5,0,49
2023-01-10,0,848.294,7.5,0,53
2023-01-10,1,800.137,7.2,0,58
2023-01-10,2,767.326,7.3,0,61
2023-01-10,3,746.863,7.3,0,66
2023-01-10,4,744.726,7.1,0,61
2023-01-10,5,749.446,7.3,0,66
2023-01-10,6,774.695,4.6,0,68
2023-01-10,7,812.637,4.6,0,69
2023-01-10,8,873.538,4.2,0,67
2023-01-10,9,882.839,6.5,0,64
2023-01-10,10,770.794,9.3,0,61
2023-01-10,11,705.87,10.8,0,58
2023-01-10,12,667.67,12.2,0,55
2023-01-10,13,630.362,12.9,0,52
2023-01-10,14,636.641,13.2,0,57
2023-01-10,15,655.678,12.4,0,70
2023-01-10,16,678.852,12.6,0,73
2023-01-10,17,743.459,12,0,76
2023-01-10,18,828.217,10.8,0,76
2023-01-10,19,886.62,10,0,79
2023-01-10,20,891.977,7.4,0,83
2023-01-10,21,886.942,6.2,0,88
2023-01-10,22,868.213,7,0,80
2023-01-10,23,843.238,6.2,0,79
2023-01-11,0,833.475,5.4,0,80
2023-01-11,1,792.719,6.4,0,81
2023-01-11,2,763.801,5.4,0,81
2023-01-11,3,739.039,5,0,81
2023-01-11,4,727.309,4.7,0,84
2023-01-11,5,731.015,4.4,0,84
2023-01-11,6,750.122,3.7,0,85
2023-01-11,7,783.66,3.9,0,85
2023-01-11,8,835.992,4.5,0,84
2023-01-11,9,844.097,8.5,0,73
2023-01-11,10,737.209,12.8,0,59
2023-01-11,11,672.541,14.9,0,49
2023-01-11,12,627.789,15.1,0,48
2023-01-11,13,586.506,15.5,0,49
2023-01-11,14,594.119,14.5,0,51
2023-01-11,15,610.666,14.1,0,53
2023-01-11,16,643.706,13.8,0,56
2023-01-11,17,711.332,13.5,0,58
2023-01-11,18,806.374,11.2,0,64
2023-01-11,19,890.476,10.5,0,65
2023-01-11,20,902.98,10,0,66
2023-01-11,21,893.122,7.1,0,77
2023-01-11,22,870.245,7.3,0,77
2023-01-11,23,854.647,7.7,0,78
2023-01-12,0,838.798,7.3,0,79
2023-01-12,1,786.99,7.5,0,78
2023-01-12,2,747.476,5.2,0,85
2023-01-12,3,719.758,4.3,0,88
2023-01-12,4,701.326,4.6,0,87
2023-01-12,5,692.879,4.7,0,88
2023-01-12,6,705.213,5.4,0,89
2023-01-12,7,722.408,4.5,0,86
2023-01-12,8,768.967,5.4,0,80
2023-01-12,9,782.148,10.5,0,59
2023-01-12,10,741.21,14.4,0,46
2023-01-12,11,771.802,13.9,0,55
2023-01-12,12,758.154,14.8,0,58
2023-01-12,13,763.086,13.4,1,70
2023-01-12,14,790.92,13.7,1,76
2023-01-12,15,798.607,15,0,74
2023-01-12,16,795.593,14.4,0.5,86
2023-01-12,17,808.148,14.8,0.5,91
2023-01-12,18,830.716,14.8,0,86
2023-01-12,19,840.706,15.7,0,80
2023-01-12,20,826.384,16.3,0,78
2023-01-12,21,804.799,15.9,0,86
2023-01-12,22,774.727,16.5,0.5,83
2023-01-12,23,752.07,16.7,0,82
2023-01-13,0,731.669,16.7,0,84
2023-01-13,1,684.7,16.8,0,82
2023-01-13,2,643.238,17.5,0,84
2023-01-13,3,615.075,17.5,0,88
2023-01-13,4,602.587,17.8,4,88
2023-01-13,5,605.907,18.3,0,88
2023-01-13,6,616.389,18.8,3.5,88
2023-01-13,7,645.495,18.7,2.5,88
2023-01-13,8,690.194,18.3,8.5,91
2023-01-13,9,757.841,18.3,6.5,91
2023-01-13,10,799.001,17,12,94
2023-01-13,11,802.703,16.8,0.5,95
2023-01-13,12,772.426,16.7,1.5,96
2023-01-13,13,726.072,16.6,3,97
2023-01-13,14,752.271,16.1,1,97
2023-01-13,15,747.768,15.8,1.5,97
2023-01-13,16,745.441,15.8,0.5,96
2023-01-13,17,755.808,14.5,0,96
2023-01-13,18,781.966,14.7,0,96
2023-01-13,19,786.24,14.7,0,95
2023-01-13,20,777.608,14.8,0,94
2023-01-13,21,759.247,14.6,0,95
2023-01-13,22,738.352,14.5,0,95
2023-01-13,23,727.7,14.4,1,95
2023-01-14,0,716.707,13.7,2.5,96
2023-01-14,1,673.157,13.7,0,96
2023-01-14,2,632.087,13,0,94
2023-01-14,3,609.546,12,0,96
2023-01-14,4,600.962,12.3,0,94
2023-01-14,5,601.635,11.6,0,93
2023-01-14,6,617.808,11.4,0,93
2023-01-14,7,633.603,11,0,94
2023-01-14,8,675.511,10.8,0,93
2023-01-14,9,696.304,10.5,0,91
2023-01-14,10,708.554,10.5,0,91
2023-01-14,11,683.051,10.8,0,90
2023-01-14,12,682.484,10.6,0,85
2023-01-14,13,675.671,10.5,0,88
2023-01-14,14,681.501,10.3,0,87
2023-01-14,15,683.09,10.2,0,86
2023-01-14,16,702.372,10.4,0,86
2023-01-14,17,734.724,10.4,0,87
2023-01-14,18,789.069,10.3,0,89
2023-01-14,19,805.534,10,0,90
2023-01-14,20,802.912,9.5,0,88
2023-01-14,21,795.351,9.5,0,89
2023-01-14,22,779.305,9,0,90
2023-01-14,23,768.433,8.7,0,91
2023-01-15,0,760.961,8.6,0,92
2023-01-15,1,719.307,8.4,1,91
2023-01-15,2,688.319,8.2,0.5,90
2023-01-15,3,672.983,8.3,0.5,89
2023-01-15,4,655.383,7.8,1,88
2023-01-15,5,660.409,7.7,0,86
